rank,username,puzzles_since_tracking,puzzles_total_now,puzzle_rating_now,puzzle_rating_progress,avg_bullet_blitz_rapid,storm_best_score,racer_best_score,first_seen,last_seen
1,test_hsj,5,10,1756,0,1500.0,,,2026-03-29 17:45 UTC,2026-03-29 18:01 UTC
2,burgir_ohne_tomaten,0,6390,2024,0,1655.3,37,51,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
3,clairewerk,0,5660,2290,0,2252.7,46,51,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
4,commonelk,0,5541,2066,0,2327.3,34,58,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
5,zijuk,0,3100,2818,0,2514.7,56,74,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
6,phillip_g,0,2630,1807,0,1461.3,,,2026-03-29 18:45 UTC,2026-03-29 18:45 UTC
7,traenenlos345,0,1509,2370,0,2205.7,41,19,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
8,pizza00guy,0,1094,2263,0,1834.7,,43,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
9,roadtotitel,0,195,2066,0,1592.0,,47,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
10,hsj,0,160,1796,0,1779.0,,,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
11,bosnjakinja,0,3,1888,0,1500.0,,,2026-03-29 16:05 UTC,2026-03-29 18:01 UTC
